,English,German,Arabic
176,It was a lovely autumn evening.,Es war ein schöner Herbstabend.,كان ذلك مساء خريفي جميل.
177,Will you give me some time?,Gibst du mir etwas Zeit?,هلا منحتني بعض الوقت؟
178,Listen to me.,Hör mir zu.,استمع إلي
179,It took me two hours to memorize this sentence.,"Ich brauchte zwei Stunden, um diesen Satz auswendig zu lernen.",أمضيت ساعتين و أنا أحفظ هذه الجملة.
180,They died one after another.,Sie starben nacheinander.,ماتوا واحداً تلو الآخر.
181,for yellow taxi drivers the struggle for passengers is real once jordan s only private transportation option they are totally overwhelmed by new competition.,"Für gelbe Taxifahrer ist der Kampf um die Passagiere, sobald jordan s nur private Transportoption, sie sind völlig von neuem Wettbewerb überwältigt.",بالنسبة لسايقي التاكسي فالصراع على الركاب محتدم جدا ويشعرون بالقهر حيال هذه المنافسة الجديدة التي اتت بعد زمان كانوا فيه الخيار الوحيد للمواصلات الخاصة
182,No fewer than 50 passengers were killed.,Nicht weniger als 50 Passagiere wurden getötet.,قُتل ما لا يقل عن 50 راكبًا.
183,temple of kotosh image by flickr user madiko cc by.,Tempel von kotosh Bild von flickr Benutzer madiko cc durch.,معبد كوتوش الصورة من مستخدم فليكر تحت رخصة المشاع الابداعي
184,I traveled at my own expense.,Ich bin auf eigene Kosten gereist.,سافرت على نفقتي.
185,turkmenistan s omnipresent leader global voices.,turkmenistan s allgegenwärtige Führer globale Stimmen.,زعيم تركمانستان الموجود في كل مكان الاصوات العالمية
186,antoine ganne tells the unique story of how vanilla came to populate the island of madagascar and reunion island fr from the gulf of mexico ganne explains that european traders brought vanilla from mexico to louis xiv who wanted to grow it on reunion island but failed a young reunionese slave edmond albius solved the issue by inventing the technique of hand pollination madagascar vanilla is now the most produced vanilla in the world.,"antoine ganne erzählt die einzigartige Geschichte, wie Vanille kam, um die Insel von Madagascar und Wiedervereinigung Insel fr aus dem Golf von mexico ganne bevölkern erklärt, dass europäische Händler brachte Vanille von Mexiko zu Louis Xiv, wollte es auf der Wiedervereinigung Insel wachsen, aber scheiterte ein junges Wiedervereinigungs-Sklave Edmond Albius löste das Problem durch die Erfindung der Technik der Handbestäubung Madagascar Vanille ist jetzt die am meisten produziert Vanille in der Welt.",يروي انطوان غان قصة فريدة عن وصول الفانيليا الى مدغشقر وجزيرة ريونيون عبر خليج المكسيك يشرح غان كيف جلب تجار الجملة الاوروبيون الفانيليا المكسيكية تلبية لرغبة الملك لويس الرابع عشر الذي اراد زراعتها في جزيرة ريونيون الا ان محاولته باءت بالفشل حتى وجد عبد ريونيوني شاب يدعى ادمون البيوس حلا لهذه المشكلة؛ حيث اكتشف طريقة يدوية لتلقيح نبات الفانيليا وتعتبر مدغشقر اليوم اهم منتج للفانيليا في العالم
187,I always wondered what was in your attic.,"Ich habe mich immer gefragt, was auf deinem Dachboden ist.",تساءلت دائما عن ما يوجد في عليتك
188,Is this the book you're looking for?,"Ist das das Buch, nach dem Sie suchen?",أهذا هو الكتاب الذي تبحث عنه؟
189,on twitter many videos and photos were shared under the hashtag blockupy netizens and collectives from different countries such as occupy brussels and belgium livestreamed the protests marches and assemblies as well as the cultural program and diverse debates on labor ecology economy among others.,auf Twitter wurden viele Videos und Fotos unter dem Hashtag blockupy Netzizens und Kollektive aus verschiedenen Ländern wie besetzten Brussels und belgium livestreamed die Proteste Märsche und Versammlungen sowie das kulturelle Programm und verschiedene Debatten über Arbeitsökologie Ökonomie u.a. geteilt.,تم مشاركة العديد من الفيديوهات والصور على توتير تحت الوسم مستخدمو الانترنت والجمعيات من مختلف البلدان مثل احتلوا بروكسل وبلجيكا بثت مباشرة الاحتجاجات والمسيرات والتجمعات فضلا عن برنامج ثقافي متنوع والمناقشات على والعمال الاقتصاد والبيية وغيرها
190,He can do it.,Er schafft es.,باستطاعته القيام بذلك.
191,political parties and organizations have condemned ert s action while journalists at ert net will launch hour rolling strikes as of october until the decision on arvanitis katsimi is withdrawn.,"Die politischen Parteien und Organisationen haben die Aktion verurteilt, während die Journalisten im ert net ab Oktober stundenweise Streiks einleiten werden, bis die Entscheidung über Arvanitis katsimi zurückgezogen wird.",ادانت الاحزاب والمنظمات السياسية العمل الذي صدر عن التليفزيون اليوناني في حين سيطلق صحفيو التليفزيون اضرابات متناوبةعلى مدار ساعة اعتبارا من من اكتوبر تشرين الاول حتى يتم سحب القرار بشان ارفنتيز وكاتسمي
192,The girl screamed when she saw the flames.,"Das Mädchen schrie, als sie die Flammen sah.",صرخت الفتاة حين رأت ألسنة اللهب.
193,syrian activists posted this video on the facebook page of break the siege of homs on june revealing the destruction of the city.,syrische Aktivisten veröffentlichten dieses Video auf der Facebook-Seite des Brechens der Belagerung von hommes auf Juni enthüllt die Zerstörung der Stadt.,لا توجد ايضا مستشفيات او مراكز طبية في حمص حيث تم تدمير وقصف مستشفى الامل في الاول من ابريل نيسان وكبديل اقيمت مستشفيات ميدانية تعتمد على طلاب الطب والمتدربين لعلاج المرضى تحذير الفيديو لعملية جراحية دون تخدير في مستشفى ميداني
194,There are many shrines in Kyoto.,Es gibt viele Schreine in Kyoto.,يوجد الكثير من المعابد في كيوتو.
195,the blog noticias de la ciudad de rosario es comments about another emblematic building in the city the cabanellas palace.,das blog noticias de la ciudad de rosario es kommentiert ein weiteres emblematisches gebäude in der stadt der cabanellas palast.,تعلق مدونة اخبار من مدينة روساريو بالاسبانية عن علامة معمارية اخرى في المدينة قصر كابانياس
196,She used to work for our company.,Sie hat für unsere Firma gearbeitet.,كانت تعمل لدى شركتنا.
197,This book is hard for me to read.,Dieses Buch ist schwer zu lesen.,بالنسبة لي، هذا الكتاب صعب القراءة.
198,I can't see anything.,Ich kann nichts sehen.,لا أستطيع رؤية شيء.
199,I'm going to need some more time.,Ich werde noch etwas Zeit brauchen.,سأحتاج إلى المزيد من الوقت.
200,I don't know you.,Ich kenne dich nicht.,أنا لا أعرفك
201,what should the role of egypt s local councils be screen shot from the second episode of right to housing series.,Wie sollte die Rolle der Gemeinderäte von Ägypten von der zweiten Episode des Rechts auf Wohnungswesen aufgenommen werden?,الادوار المفترضة للمجالس المحلية من الحلقة الثانية من سلسلة الحق في السكن
202,I will be back soon.,Ich bin bald wieder da.,سأعود بعد قليل.
203,Why is she angry?,Warum ist sie wütend?,لماذا هي غاضبة؟
204,Why are you here?,Warum bist du hier?,لماذا أنت هنا؟
205,My father was about to leave when the phone rang.,"Mein Vater wollte gerade gehen, als das Telefon klingelte.",كان أبي على وشك أن يغادر عندما رن جرس الهاتف.
206,He shot at me.,Er hat auf mich geschossen.,أطلق عليّ الرّصاص.
207,I'll be a little late today.,Ich komme heute etwas zu spät.,سأتأخر قليلا اليوم.
208,I don't blame him.,Ich kann es ihm nicht verübeln.,أنا لا ألومهُ.
209,I'm poor.,Ich bin arm.,أنا فقير.
210,internet governance decisions should be made in a transparent manner with genuine multistakeholder participation from civil society governments and the private sector we call on the itu and its member states to embrace transparency and reject any proposals that might expand itu authority to areas of internet governance that threaten the exercise of human rights online.,"Die Entscheidungen über die Internet-Governance sollten transparent getroffen werden, wobei die Beteiligung der Regierungen der Zivilgesellschaft und des Privatsektors, die wir an das itu und seine Mitgliedstaaten appellieren, Transparenz zu übernehmen und Vorschläge abzulehnen, die ihre Autorität auf Bereiche der Internet-Governance ausweiten könnten, die die Ausübung der Menschenrechte online bedrohen.",يجب ان تتم قرارات ادارة الانترنت بشفافية وبمشاركة اصحاب المصلحة من منظمات المجتمع المدني الحكومات والقطاع الخاص ندعو الاتحاد الدولي للاتصالات والدول الاعضاء لتبني الشفافية ونبذ اية اقتراحات قد تبسط سلطة الاتحاد على نطاق ادارة الانترنت مما يهدد نشاط حقوق الانسان على الانترنت
211,Tom died.,Tom ist gestorben.,توم مات.
212,Your condition isn't serious.,Ihr Zustand ist nicht ernst.,حالتُُك ليست سيئة.
213,He couldn't possibly succeed.,Er konnte es unmöglich schaffen.,لم يكن هناك احتمال لنجاحه.
214,Her father left her the house in his will.,Ihr Vater hinterließ ihr das Haus in seinem Testament.,ترك أبوها البيت لها في وصيته.
215,These books are new.,Diese Bücher sind neu.,هذه الكتب جديدة
216,You almost died.,Du wärst fast gestorben.,أنتَ تقريباً مت.
